Year,rnase,serotonin,BLAST,genetic algorithm,Epidemiology,mouse,FACS,Mononucleosis,Prefrontal cortex,paleocortex,neutrotransmitter,epinephrine,nanopore,RNA,Histamine,dopamine,cocaine,fMRI,gene therapy,cannabis,connectome,savant,homeopathy,substance P,ribozyme,lateral ventricles,autism,neuropeptide,microglia,machine learning,SNP,natural medicine,GABA,DNA array,ribosome,BRCA1,stem cells,EEG,soy milk,inflammatory,prion,glycine,NGS,autoimmune,glutamate,archaea,perceptron,Drug repurposing,antibiotic,illumina,lipid,genetic engineering,influenza
1966,204.7895218802897,339.0959291838943,18.8694952410023,0,3018.5642534062213,3218.913894053334,1.1099703082942531,70.48311457668507,1.1099703082942531,696.5063684546438,0,529.4558370563587,0,1200.9878735743819,475.0672919499404,94.34747620501152,62.713322418625296,0,4.4398812331770126,6.659821849765519,0,1.1099703082942531,36.074035019563226,3.884896079029886,0.5549851541471266,8.879762466354025,21.644421011737936,881.316424785637,0.5549851541471266,1.1099703082942531,0,56.60848572300691,29.41421316979771,0,352.9705580375725,0,14.42961400782529,925.1602519632601,0,302.466909010184,1.6649554624413798,206.45447734273105,0.5549851541471266,240.3085717457058,320.7814190970392,5.5498515414712655,0,0,3061.853095429697,0,3111.2467741487912,0,281.9324583067403
1967,264.9978914706082,390.4684058997173,31.237472471977387,0,3627.7118030789734,3320.0226992299963,0.5206245411996231,60.39244677915628,3.1237472471977386,996.4753718560785,0,597.6769732971673,0,1356.2269298250183,540.4082737652087,122.34676718191142,69.7636885207495,0,5.726869953195854,29.675598848378517,0,0.5206245411996231,15.09811169478907,7.288743576794723,2.0824981647984924,9.891866282792838,21.86623073038417,1080.2959229892178,2.0824981647984924,0.5206245411996231,0.5206245411996231,41.64996329596985,31.758097013177007,0,412.33463663010144,0,26.55185160118078,1190.1477011823383,1.5618736235988693,340.48844994455345,8.32999265919397,236.88416624582848,0.5206245411996231,287.90537128339156,352.4628143921448,5.726869953195854,0.5206245411996231,0,3409.570120316331,0,3666.758643668945,1.0412490823992462,273.3278841298021
1968,297.852102019149,440.0524604024847,27.383177121115313,0,4089.7015233693796,3427.7012063010134,0,84.55156444414553,0.9608132323198355,948.3226602996776,0,604.8319297453364,0,1457.0732668130306,534.6925637859885,130.19019297933772,76.86505858558684,0.48040661615991775,13.931791868637616,53.325134393750865,0,0.48040661615991775,5.284472777759095,10.56894555551819,0.48040661615991775,8.166912474718602,33.628463131194245,1174.113769894839,1.4412198484797532,0.9608132323198355,0,36.51090282815375,32.18724328271449,0.48040661615991775,518.8391454527111,0,27.383177121115313,1158.2603515615617,1.921626464639671,353.09886287753955,9.127725707038438,283.9203101505114,0,301.69535494842836,358.38333565529865,4.804066161599177,0.48040661615991775,0,3416.651854129335,0,4099.790062308738,0.48040661615991775,329.5589386857036
1969,310.19847129735405,392.3917788117727,28.79087607849693,0,4521.560651231042,3637.8665032087893,0,84.05078339045072,2.7862138140480903,1029.5060042907694,0,679.3718016587259,0,1656.4041124515895,567.9232490968024,175.9958392540377,74.76340401029042,0,12.537962163216404,74.2990350412824,0,1.3931069070240452,6.9655345351202245,6.501165566112211,2.321844845040075,6.501165566112211,32.50582783056105,1237.0789334373521,1.3931069070240452,0.9287379380160301,0.46436896900801505,30.183982985520977,35.756410613617156,0,586.033638888115,0,26.93340020246487,1339.7044755881234,0.9287379380160301,367.31585448533986,10.680486287184346,281.4075952188571,0,351.9916785080754,408.64469272705315,10.21611731817633,0.46436896900801505,0,3618.3630065104526,0,4326.525684247676,0,318.0927437704903
1970,331.7747213183488,433.4035164474584,33.72435354060139,0,4479.414472305014,3749.7835261090304,0.45573450730542414,79.2978042711438,2.7344070438325447,982.5635977504944,0,589.2647179459134,0,1674.8243143474335,517.7144002989618,225.13284660887956,66.0815035592865,0.45573450730542414,12.760566204551877,106.18614020216383,0,1.8229380292216966,5.0130795803596655,3.190141551137969,0.45573450730542414,10.937628175330179,37.370229599044784,1210.4308514032066,1.3672035219162724,0.45573450730542414,0,49.67506129629123,36.45876058443393,0.45573450730542414,608.8613017600467,0,42.83904368670987,1118.3724809275109,0.45573450730542414,380.0825790927238,5.4688140876650895,303.06344735810706,0,362.3089333078122,439.3280650424289,8.658955638803059,0,0,3586.6305724936883,0.45573450730542414,4357.277624347161,0.9114690146108483,350.9155706251766
1971,348.74674726591496,478.8561106689678,27.27378408105232,0,4421.035688417137,3904.622235734917,0.4471112144434807,87.18668681647874,5.365334573321768,1094.5282529576407,0,612.5423637875685,0,1831.8146455749404,502.5530050344723,321.4729631848626,62.148458807643806,0,26.37956165216536,151.57070169633994,0,1.341333643330442,5.365334573321768,2.682667286660884,2.682667286660884,12.966225218860938,49.18223358878288,1302.8820788883027,0.8942224288869614,0,0.4471112144434807,44.264010229904585,41.13423172880022,0,781.1032916327607,0,86.73957560203525,1126.2731491831278,2.2355560722174035,387.64542292249774,10.730669146643535,329.52096504484524,0,340.2516341914888,459.63032844789814,6.259557002208729,0.8942224288869614,0,3741.8737536774897,0,4881.560239293923,4.471112144434807,331.7565211170627
1972,396.28031895518916,502.0428404039163,32.47479911703654,1.7553945468668404,4086.9973537427204,4268.680689343439,0,80.30930051915793,7.46042682418407,1190.5963514124344,0,608.2442104893602,0,2048.984284830319,482.29465175166433,368.1940062053197,76.79851142542425,0.4388486367167101,29.40285866001957,181.24448696400125,0,0.8776972734334202,6.58272955075065,0.4388486367167101,2.19424318358355,15.798550921801562,40.812923214654035,1327.9559747047647,1.7553945468668404,0.4388486367167101,0.4388486367167101,28.964010023302862,43.44601503495429,0,828.5462261211485,0,114.97834281977804,1058.9417603974214,1.31654591015013,404.6184430528067,14.92085364836814,338.79114754530013,0,312.02138070558084,495.46011085316565,16.23739955851827,0,0,3603.825004717623,0,5636.133041352707,10.09351864448433,318.16526161961474
1973,380.7447020240042,516.6013343371148,34.180490295336746,0,4413.177228005504,4474.615577650286,0.8653288682363733,87.39821569187369,5.624637643536426,1159.9733478708583,0,586.6929726642611,0,2035.686162526068,486.7474883829599,442.61571610290497,69.22630945890987,0.43266443411818667,49.323745489473275,206.38093507437503,0,0.8653288682363733,6.0573020776546125,5.624637643536426,0.8653288682363733,8.220624248245546,40.67045680710954,1437.7439145747342,3.8939799070636796,0.43266443411818667,0.8653288682363733,27.690523783563947,61.871014078900686,0.8653288682363733,842.8303176622276,0,129.79933023545598,1040.990628488357,2.1633221705909333,425.74180317229565,7.787959814127359,349.59286276749475,0,311.95105699921254,496.69877036767826,14.27792632590016,0.43266443411818667,0.43266443411818667,3841.1948461012603,0,5702.949906111818,14.27792632590016,336.180265309831
1974,381.09820934881543,616.7325932542215,40.406618178724855,0,4363.914763302284,4473.225298796308,1.2759984688018373,79.11190506571393,3.8279954064055124,1112.6706647952021,0,587.809961294713,0,2145.8040917017565,520.1820424482157,526.562034792225,88.04389434732678,0,40.831951001658794,185.87044362213433,0,0,5.954659521075241,12.334651865084428,2.126664114669729,16.16264727148994,42.958615116328524,1641.3593637020967,1.7013312917357832,0.8506656458678916,0,26.795967844838586,99.10254774360936,0.8506656458678916,827.2723406065246,0,128.45051252605163,946.3655310280294,1.7013312917357832,468.71677087320825,7.230657989877079,375.1435498277402,0,313.895623325252,490.4087448428395,12.759984688018374,0,0,3890.5193313768023,0,5720.726468461571,27.22130066777253,328.35693930500616
1975,329.46483033163184,581.4793412308582,107.14629683135895,1.2038909756332468,3866.4965167421105,4622.54004943979,4.012969918777489,74.23994349738354,10.43372178882147,1040.1618029471251,0,547.3690969212495,0,1908.5684933705736,477.9447173263989,598.3338148897236,74.64124048926129,2.0064849593887444,69.8256765867283,140.45394715721213,0,0.8025939837554977,10.032424796943722,10.43372178882147,6.822048861921731,40.12969918777489,55.78028187100709,1520.1130052329127,10.032424796943722,1.2038909756332468,1.6051879675109955,64.20751870043982,147.67729301101159,1.6051879675109955,740.7942470063244,0,173.76159748306526,741.9981379819577,0.8025939837554977,728.755337249992,3.61167292689974,337.8920671610646,1.6051879675109955,318.62981155093263,533.724999197406,18.0583646344987,0.40129699187774887,0.40129699187774887,3401.794600147677,0,5035.87595107387,27.288195447686924,347.5231949661305
1976,281.2040396117266,580.8412589469556,112.95225022060986,1.1765859397980194,3709.775468183155,4478.478282184528,1.5687812530640257,65.88881262868908,11.373664084714187,986.3712128640062,0.39219531326600643,484.361211883518,0,1831.5521129522501,458.4763212079616,622.4139621531523,79.6156485929993,3.1375625061280514,88.24394548485147,132.16982057064416,0,1.1765859397980194,3.921953132660065,26.27708598882243,7.451710952054123,36.866359447004605,41.572703206196685,1649.1812922835572,6.66732032552211,1.1765859397980194,2.7453671928620453,67.45759388175311,183.93960192175703,3.529757819394058,642.0237278164526,0,173.74252377684087,654.9661731542308,5.098539072458085,778.8998921462888,9.020492205118149,312.18746935974116,0.39219531326600643,322.3845475046573,491.4207275223061,30.98342974801451,0.39219531326600643,0.7843906265320129,3206.196685949603,0,4864.0062751250125,53.73075791744289,405.9221492303167
1977,266.2171233294685,532.0528467687801,93.82437297858058,1.9069994507841581,3639.317751876488,4325.837554158785,0,65.2193812168182,11.060596814548116,1025.9657045218771,0,461.8752669799231,0,1693.4155122963323,475.605663025569,691.4780008543357,75.8985781412095,2.2883993409409897,64.07518154634772,67.12638066760236,0,1.1441996704704949,8.772197473607127,39.66558857631049,7.246597912979801,34.70739000427168,49.96338561054494,1670.9129187770795,3.432599011411485,0,3.051199121254653,57.59138341368158,199.0907426618661,1.1441996704704949,595.746628424971,0,167.81595166900593,705.9711966802953,4.5767986818819795,754.408982730213,4.195398791725148,325.7155061939342,0,311.9851101482883,440.89827302129737,34.70739000427168,0,0.7627997803136632,3136.2512967596263,0,4744.996033441143,40.04698846646732,416.48868005126013
1978,225.99699159848845,546.6485673404997,106.39468760318451,1.8343911655721465,3675.019261107239,4573.137175771361,4.402538797373151,59.43427376453755,12.106981692776168,1001.9444546355064,0,485.74678064350445,0,1642.1469714201855,444.6564185346884,688.9973217888983,71.90813369042814,3.668782331144293,63.8368125619107,71.17437722419929,0,1.1006346993432878,5.870051729830869,61.26866493010969,6.6038081960597275,26.048354551124483,51.362952636020104,1743.405363759768,8.438199361631874,0.7337564662288586,6.6038081960597275,52.83046556847782,229.29889569651834,3.668782331144293,541.879150310012,0,212.05561874014012,703.3055728803611,6.6038081960597275,750.9997431852369,5.13629526360201,263.7854496092747,0,322.48596690758336,424.4781157133947,39.622849176358365,1.4675129324577172,0.3668782331144293,2955.937924202957,0,4594.782991525113,28.249623949811056,352.936860256081
1979,236.43930209640484,536.3308306924446,103.50865998823122,3.5448171228846306,3853.2162125755935,4914.179977454964,7.7985976703461874,59.55292766446179,9.925487944076965,1062.3816917285237,0.35448171228846304,425.7325364584441,0,1654.366151250257,449.12832946948265,717.4709856718491,65.57911677336566,4.253780547461556,81.5307938263465,48.56399458351944,0,0.7089634245769261,3.8992988351730937,66.99704362251951,8.507561094923112,35.093689516557845,50.69088485725021,1773.8264882914689,7.089634245769261,0.35448171228846304,5.671707396615409,58.13500081530793,260.1895768197319,4.253780547461556,565.752812812387,0,246.01030832819333,719.9523576578684,5.317225684326946,785.5314744312342,2.8358536983077043,251.68201572480876,1.063445136865389,289.96604065196277,406.23604228257864,47.85503115894251,0.7089634245769261,0.35448171228846304,3110.931507043552,0,4647.6097298140385,32.6123175305386,389.92988351730935
1980,204.87714497463088,535.887349637991,103.32934268285732,1.4252323128669973,3672.1110541018184,5141.169260589476,8.195085798985234,55.940368280029645,11.401858502935978,1125.933527164928,1.068924234650248,488.1420671569466,0,1614.4319024000913,499.90023373809925,772.8322216521293,61.284989453280886,10.68924234650248,78.38777720768485,52.02097941964541,0,1.4252323128669973,7.1261615643349865,95.13425688387207,8.195085798985234,34.56188358702468,43.11327746422667,1982.4981471979934,7.482469642551735,1.068924234650248,4.98831309503449,62.71022176614788,305.71233110997093,5.700929251467989,497.40607719058204,0,297.87355338920247,705.8463029473804,4.275696938600992,841.9559888261787,6.057237329684739,278.632917165498,1.068924234650248,324.9529673336754,443.95986545806966,45.25112593352716,0.3563080782167493,0.7126161564334986,3036.8137506413545,0,4901.73023202782,42.40066130779317,383.743800239439
1981,223.17100257721964,569.385733273633,144.54993847813594,2.4679257788950038,3701.5361075169494,5396.648556792261,9.871703115580015,66.28143520460868,17.628041277821456,1094.348802527156,1.0576824766692874,511.56575788237865,0,1587.5813974806003,505.57222384791936,737.9098078896061,71.92240841351153,17.980602103377883,87.08252391243799,40.54449493898935,0,0.35256082555642915,6.346094860015723,111.40922087583161,8.814020638910728,43.01242071788435,39.83937328787649,1972.577818988221,10.576824766692873,0.35256082555642915,5.993534034459295,62.75582694904438,379.35544829871776,4.9358515577900075,466.0854113855993,0,313.4265739196655,636.3722901293545,5.2884123833464365,867.2996308688157,3.87816908112072,282.75378209625615,0,362.7850894975656,475.6045536756229,41.95473824121507,0.35256082555642915,0,3109.586481407705,0,4943.607895952249,46.53802897344865,375.12471839204056
