id,dbXRefs,ICD10,All_ICD_counts,f41202_ICD_counts,ICD10_all_freq
MONDO_0011686,D81.1,D81,1.0,1.0,0.0001989590462699158
MONDO_0011811,G11.1,G11,13.0,7.0,0.0025864676015089055
MONDO_0012253,Q77.3,Q77,7.0,2.0,0.0013927133238894106
MONDO_0001407,C33,C33,17.0,14.0,0.0033823037865885687
MONDO_0007410,Q11.2,Q11,5.0,0.0,0.000994795231349579
MONDO_0008206,G96.8,G96,20.0,10.0,0.003979180925398316
MONDO_0008373,Q14.1,Q14,16.0,1.0,0.003183344740318653
MONDO_0008389,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0009179,Q81.2,Q81,2.0,0.0,0.0003979180925398316
MONDO_0009717,G71.1,G71,71.0,24.0,0.014126092285164022
MONDO_0009717,Q78.8,Q78,3.0,0.0,0.0005968771388097474
MONDO_0010121,Q87.2,Q87,13.0,2.0,0.0025864676015089055
MONDO_0011046,Q87.1,Q87,14.0,2.0,0.002785426647778821
MONDO_0011136,D69.1,D69,14.0,5.0,0.002785426647778821
MONDO_0011449,E77.8,E77,8.0,1.0,0.0015916723701593265
MONDO_0011481,Q75.8,Q75,4.0,1.0,0.0007958361850796633
MONDO_0011615,D68.2,D68,365.0,17.0,0.07262005188851926
MONDO_0011834,G11.8,G11,2.0,1.0,0.0003979180925398316
MONDO_0012034,G71.0,G71,82.0,27.0,0.016314641794133097
MONDO_0012635,E77.8,E77,8.0,1.0,0.0015916723701593265
HP_0002110,J47,J47,2282.0,631.0,0.45402454358794786
HP_0100633,K20,K20,11104.0,7136.0,2.209241249781145
MONDO_0007154,Q28.2,Q28,130.0,115.0,0.025864676015089055
MONDO_0008999,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010006,E75.0,E75,1.0,0.0,0.0001989590462699158
MONDO_0010099,E75.0,E75,1.0,0.0,0.0001989590462699158
MONDO_0010172,Q87.8,Q87,28.0,5.0,0.005570853295557642
MONDO_0010418,G11.4,G11,29.0,12.0,0.0057698123418275585
MONDO_0010444,D64.4,D64,1.0,1.0,0.0001989590462699158
MONDO_0011080,H74.3,H74,98.0,38.0,0.01949798653445175
MONDO_0012912,E20.1,E20,8.0,3.0,0.0015916723701593265
MONDO_0007471,H35.5,H35,106.0,13.0,0.021089658904611074
MONDO_0008222,G72.3,G72,8.0,6.0,0.0015916723701593265
