Topic,First occurrence year,First valid occurrence date,reviews,research_review_ratio,reviews_div_research,reviews_ratio,Years from First ever occurrence to (first valid) Start date,Years since Start date,# Years of Topic coverage in dataset (After dates filtering),Average topic popularity value (After dates filtering),Max topic popularity value (After dates filtering),Minimum topic popularity value (After dates filtering),Year of topics max popularity (After dates filtering),Year of topics min popularity (After dates filtering),Fraction of papers that were reviews in year of topics max popularity,Fraction of papers that were reviews in year of topics lowest popularity,Average topic reviews popularity value (After dates filtering)
lncRNA,1976,1981,0.25,0.66,0.02,0.02,5,39,39,72.75,555.89,2.03,2020,1982,0.13,0.0,10.42
machine learning,1957,1968,0.25,-14.29,0.17,0.14,11,52,42,111.96,1113.56,0.35,2020,1981,0.09,1.0,8.21
mass spectrometry,1947,1952,10.43,0.6,0.03,0.02,5,68,42,1104.34,1936.78,305.92,2011,1979,0.04,0.02,43.38
microglia,1949,1954,0.99,-5.36,0.07,0.07,5,66,42,103.21,271.05,3.23,2020,1983,0.17,0.0,15.25
mouse,1945,1950,292.45,1.0,0.06,0.06,5,70,42,6183.18,7170.06,4914.18,2010,1979,0.07,0.05,406.62
multiple sclerosis,1945,1950,26.07,1.0,0.16,0.13,5,70,42,287.43,429.02,168.38,2019,1979,0.18,0.05,52.98
natural medicine,1945,1950,83.91,1.0,0.18,0.16,5,70,42,837.31,3138.46,58.14,2018,1979,0.14,0.09,149.78
ncRNA,1953,1975,2.23,0.84,0.02,0.02,22,45,42,564.88,1610.04,4.96,2019,1979,0.09,0.07,54.06
neocortex,1946,1951,3.23,0.99,0.05,0.05,5,69,42,65.81,106.09,30.84,1999,1979,0.1,0.02,6.4
neural networks,1958,1968,3.23,-10.6,0.17,0.14,10,52,42,185.99,750.58,2.82,2020,1981,0.07,0.0,18.83
neuropeptide,1945,1950,164.84,1.0,0.08,0.08,5,70,42,1475.96,2407.52,395.6,1986,2020,0.07,0.14,148.32
neutrotransmitter,1960,1985,0.25,-7.67,0.5,0.33,1985,6,6,0.3,0.74,0.0,1989,1988,0.33,,0.04
opioids,1945,1950,51.39,0.96,0.08,0.08,5,70,42,624.0,781.73,499.41,1986,2011,0.06,0.14,62.42
paleocortex,1945,1950,50.15,1.0,0.04,0.04,5,70,42,1427.04,1772.36,964.41,1999,2020,0.08,0.05,92.49
perceptron,1958,1970,0.5,-16.33,0.1,0.1,12,50,40,118.65,514.72,0.32,2020,1983,0.05,0.0,7.43
pineal gland,1945,1950,8.69,0.36,0.11,0.1,5,70,42,57.36,114.14,17.41,1979,2020,0.05,0.26,7.05
pituitary gland,1945,1950,24.33,-0.14,0.07,0.06,5,70,42,258.33,515.22,61.47,1980,2020,0.06,0.19,25.71
prion,1956,1968,3.48,1.0,0.3,0.23,12,52,42,66.47,130.52,2.84,2004,1979,0.22,0.12,14.23
race,1945,1950,35.25,1.0,0.07,0.07,5,70,42,969.14,1560.94,428.01,2012,1981,0.04,0.02,50.16
ribosome,1949,1957,17.88,0.98,0.05,0.05,8,63,42,605.16,840.41,331.26,2009,1987,0.05,0.04,31.24
ribozyme,1956,1969,2.98,1.0,0.06,0.06,13,51,42,85.9,162.6,8.2,2000,1980,0.09,0.0,8.56
rnai,1978,1983,0.0,-3.0,0.0,0.0,5,37,37,80.93,199.04,0.68,2010,1994,0.1,0.0,8.03
rnase,1945,1950,8.44,1.0,0.04,0.04,5,70,42,201.07,299.33,106.33,1998,2020,0.03,0.09,10.33
savant,1946,1954,0.0,0.83,0.0,0.0,8,66,42,1.83,3.56,0.35,1995,1981,0.0,0.0,0.18
serotonin,1946,1952,55.36,0.98,0.1,0.09,6,68,42,557.48,740.22,230.32,1998,2020,0.15,0.16,74.57
single cell,1945,1950,90.37,0.98,0.05,0.05,5,70,42,1899.17,2280.07,858.91,1997,1979,0.06,0.02,134.49
sleep,1945,1950,53.38,1.0,0.12,0.1,5,70,42,709.39,1278.41,450.55,2020,1979,0.12,0.04,98.13
somatosensory cortex,1946,1958,2.23,0.98,0.04,0.04,12,62,42,86.04,112.97,50.89,1999,2020,0.09,0.06,5.26
soy milk,1946,1957,0.5,-3.7,0.05,0.04,11,63,42,10.5,16.26,4.28,2004,1980,0.1,0.0,1.13
stem cells,1945,1950,61.82,1.0,0.14,0.12,5,70,42,1093.95,2070.73,246.01,2017,1979,0.16,0.08,172.45
