ICD10,f41202,All
M8898,0,4
V292,0,1
K260,93,114
M2403,13,21
V860,0,1
M7195,4,10
S254,0,1
H540,4,260
M6585,3,5
Y041,0,5
G64,5,9
W1804,0,1
V8001,0,3
N995,67,84
E54,3,14
M4056,5,29
Z936,0,484
Z544,9,45
M1904,140,211
M5422,753,1099
M0766,2,2
H168,15,25
I469,99,460
M4014,3,8
Q720,0,1
J154,69,91
I131,7,11
M4316,560,1007
W259,0,303
L22,0,2
D223,1740,2041
T0251,1,1
R470,195,822
W855,0,1
M0701,0,1
P369,2,2
I631,6,6
M2357,0,1
M2129,1,2
H281,0,1
X451,0,1
D474,45,67
W059,0,26
G92,0,7
O863,2,4
T464,35,98
M4636,13,17
M7266,4,4
M7635,3,4
S260,1,1
Q730,0,1
X090,0,24
E215,12,21
S217,0,2
N44,28,29
M7936,5,6
G833,3,8
C423,0,29
G113,0,1
X495,0,8
M6580,0,1
M7960,172,414
K593,48,237
M2526,4,5
C444,1337,2133
M45X2,10,46
T829,46,59
S533,28,37
S8270,33,37
L638,1,2
M5457,927,1056
O624,14,54
B181,51,179
W036,0,2
E898,4,10
M2133,6,14
M7056,36,46
M7242,1,1
R840,1,1
O244,95,224
Z129,54,74
M6655,2,2
G619,24,31
E141,25,32
M1995,110,217
V884,0,1
M1393,76,139
M2566,110,137
D215,20,36
N942,12,17
D171,2569,2777
C506,38,86
M6095,11,15
M8426,14,15
L305,1,1
H212,0,23
T435,117,195
V7989,0,1
L710,1,3
H901,54,123
E135,0,2
M2335,74,110
M8956,1,7
M0294,1,3
K119,99,113
S508,5,58
Z207,0,1
H921,195,287
M8946,1,1
G465,0,4
O351,38,143
H545,3,30
V696,0,1
Y423,0,82
Z374,0,6
M7244,2,2
J982,3,24
V934,0,10
W455,0,12
L230,1,9
M8564,19,21
M9075,24,89
I391,0,2
M1122,0,1
I600,17,19
Q120,53,80
Z099,2843,3025
F334,10,15
G901,1,5
T842,246,287
M8402,22,31
D829,2,2
F711,0,1
M1254,1,2
S372,1,5
V1399,0,2
I080,204,612
T845,546,605
V225,0,1
W386,0,1
K133,2,4
N209,104,143
D686,4,78
K528,368,522
H520,57,287
L121,13,24
O641,126,158
Z041,41,166
H314,4,5
S420,83,141
M1394,251,806
K770,1,13
D044,42,143
Q206,2,4
W0729,0,1
M701,1,3
M8143,1,1
M241,56,104
Y442,0,269
O364,64,87
M700,4,6
H288,1,1
M0696,176,245
Q105,3,3
Z320,41,109
M4698,4,18
Z710,1,2
F444,20,35
Z039,407,609
S897,1,2
C170,60,81
N423,8,10
I214,985,1068
D591,77,121
J698,12,33
Z123,28,60
F125,11,11
I958,11,75
N711,49,132
G040,7,10
T820,60,106
V198,0,20
M9180,0,1
I248,388,873
H046,18,23
C323,4,9
S826,142,165
H428,1,4
Z871,220,19118
M1230,6,14
M5456,2452,2874
T0270,1,2
V818,0,1
M4609,0,1
T513,1,2
Z365,0,5
M755,214,721
S907,2,8
X816,0,1
S443,0,4
T926,1,30
Y840,0,443
J304,46,208
Z834,1,149
M489,7,22
R11,3458,14508
M5116,0,1
O984,3,6
E070,2,5
D571,34,108
W101,0,11
