ICD10,f41202,All
C150,13,17
N310,6,9
M8545,0,9
M7199,2,6
M171,4597,6032
A86,52,63
Z951,0,5393
L404,7,15
W298,0,12
O262,17,63
J323,15,24
S3730,5,11
M0819,1,2
M2319,1,4
M9400,0,1
S7221,1,1
A481,62,68
M4724,1,2
W548,0,60
G561,46,69
M2478,1,1
N734,0,1
B333,2,11
V930,0,4
Z235,0,3
M6008,23,34
H188,81,132
H681,9,15
E781,3,75
G119,34,103
S159,2,3
D151,35,41
Z465,97,121
M902,0,1
F158,0,1
I891,31,128
M9977,1,1
X721,0,2
Z200,1,5
M0591,9,14
A699,19,38
B975,0,1
T361,3,6
M8165,0,1
Q774,3,12
D466,5,5
K274,10,15
E058,9,36
M0728,0,1
N833,10,140
T834,114,138
H430,4,15
X6109,0,5
Q148,0,1
K311,108,195
I219,4007,4632
M0003,1,1
M314,5,10
S018,737,1404
Y446,0,11
C381,3,5
M4840,0,4
T869,6,8
M7095,0,1
D312,2,9
L943,0,10
M4022,3,11
I460,174,728
C430,6,6
D229,75,93
N19,271,1779
F505,2,3
M436,15,81
D351,408,460
F380,5,9
M0150,0,1
Z581,0,68
O033,24,24
M6588,2,3
R891,3,4
O420,324,544
T199,1,1
Y049,0,532
D759,95,120
L538,12,61
M6196,0,1
T402,297,598
I775,0,3
D321,39,51
Q130,0,8
M7294,8,11
E103,242,618
H051,11,13
M8728,0,1
M798,749,1016
D353,1,1
M6538,0,2
T131,12,21
H831,2,7
C384,32,42
W272,0,10
E849,11,20
S311,33,49
X188,0,1
F69,6,42
O328,40,103
B508,8,8
M6636,9,9
T272,0,1
N135,377,548
W540,0,160
X441,0,1
M7227,133,166
G832,18,53
Z479,31,47
M2175,10,34
M8082,0,1
S8200,263,313
M8725,15,19
M4015,3,4
M6001,1,2
H355,13,106
N002,0,4
D638,105,353
M8940,0,16
B251,7,7
M8993,7,9
C110,2,3
L249,0,1
M8417,143,163
F381,0,2
X279,0,1
M4909,0,1
M2448,2,2
M8999,3,7
R75,1,1
X642,0,7
J682,0,1
Y772,0,15
J36,492,512
L089,556,1270
X511,0,8
M7703,3,3
T310,1,329
M4889,2,6
V776,0,1
I200,4985,6472
Q263,4,7
K113,29,31
M7970,26,77
D126,2263,2865
K000,28,32
Z443,78,97
Q522,1,1
Q809,0,8
Z449,0,3
N841,2760,3912
G931,52,150
S381,2,5
X601,0,8
X628,0,10
T210,24,43
S836,75,109
T150,9,10
V413,0,1
Y842,0,563
H433,126,318
V475,0,128
M538,8,16
U51,0,1
C673,60,76
X6008,0,2
H103,3,17
O680,1180,1722
K719,7,15
K850,14,16
Y910,0,1
Z024,0,6
C764,9,13
K123,56,248
F169,1,1
D562,0,2
Q818,0,1
M8663,1,1
M0006,11,13
M8416,114,131
M4632,3,5
O046,5,6
M962,0,1
Q429,0,1
M317,4,13
Q229,0,1
S361,8,23
D212,198,218
K469,149,330
S365,3,5
Y790,0,1
H619,51,64
D802,8,36
M1913,26,40
D122,1533,2089
M2505,2,6
M4190,15,37
M2558,50,66
O368,1123,1298
S032,6,35
Q748,2,5
G368,0,2
S0270,25,49
S390,19,36
F002,8,26
M8497,5,5
B956,2,2838
M8436,1,3
W2909,0,1
T260,0,2
M229,16,26
S9250,29,66
M4199,27,323
F819,2,219
T173,17,18
K668,66,163
C946,5,10
D573,1,349
Z751,0,567
S982,3,3
J168,7,14
N341,12,21
S957,1,2
M8195,10,81
M715,4,7
M764,8,10
Y405,0,21
H940,0,2
V1349,0,2
F130,0,1
K060,12,17
L00,1,2
J111,98,166
O109,6,13
K768,186,1072
W5130,0,2
X9942,0,1
L599,6,12
Q513,6,126
B940,0,1
M4645,3,4
H474,1,5
W494,0,3
O810,30,43
W0181,0,2
D180,1337,1823
W088,0,5
S531,100,133
M1284,0,1
M2324,349,455
Z943,0,16
A022,3,3
S7231,7,14
M8410,3,5
R100,307,375
M6534,1116,1269
L89,53,378
A759,1,1
J438,10,21
V296,0,3
S359,2,3
I694,2,1120
N271,2,22
M2103,1,1
M2182,1,4
Y713,0,8
M7615,10,12
O332,0,1
M9497,1,3
Z314,32,72
X323,0,1
C180,667,854
M2586,94,189
D552,1,1
O219,66,85
Y119,0,11
O629,10,18
C342,89,132
M7206,1,1
S799,147,205
A390,29,31
E249,67,99
W258,0,23
C311,3,5
J701,5,31
G501,51,59
X445,0,1
L730,10,12
T462,7,13
M726,2,5
M9199,0,2
M8040,0,1
Y479,0,4
F308,3,5
Z111,17,33
T439,4,11
U899,0,16
O235,34,91
M4189,4,5
G940,0,1
F55,0,12
B958,0,295
J930,32,49
C65,74,114
Q773,2,7
V919,0,1
D407,10,13
M059,117,226
I340,705,2547
J851,20,33
D27,1360,1755
T448,0,3
I635,436,458
G545,6,13
H354,61,221
Y590,0,14
M1306,3,9
D739,7,14
F511,1,2
M0632,28,31
K85,1402,1767
E782,5,206
S422,142,161
M5430,6,12
B971,0,15
W018,0,956
M029,6,14
M6216,5,6
K088,685,951
Y080,0,2
K832,6,10
C469,1,5
M8169,0,2
K219,7066,17358
O210,169,178
I629,84,98
R451,17,291
W799,0,102
T158,6,6
K293,179,290
M8580,7,42
M2334,103,147
C398,0,1
C531,3,33
M8398,1,2
H814,6,10
N731,19,30
G830,2,2
W175,0,29
M210,15,41
R611,5,9
S5420,0,1
G40,0,1
M6099,22,43
K913,156,416
S3240,172,231
M189,960,1143
A081,35,126
C500,143,218
M2549,0,2
D749,0,1
X881,0,1
O049,1272,1283
M548,62,107
G712,2,7
K831,602,955
M2459,0,4
Q435,1,1
X269,0,3
M2415,85,124
M4317,202,332
C509,8927,11457
X199,0,14
M1189,0,4
C401,5,11
M7250,0,3
J159,32,40
M5427,0,1
Y904,0,2
T609,4,7
L024,1146,1321
M2462,1,2
E051,9,12
M6281,11,49
C01,152,179
D175,95,246
Q246,4,11
E131,5,5
O628,4,11
N771,0,270
C698,1,1
Z716,0,79
W4499,0,11
L922,13,14
M498,1,3
Y2859,0,1
K567,56,492
D648,27,59
R162,9,96
D136,23,34
H113,38,182
R631,51,152
Y451,0,181
O289,5,9
I791,0,1
H042,871,1113
O993,36,94
Z311,7,8
S325,53,84
M2426,41,69
C431,24,27
Z859,2,152
M4702,0,1
M0698,16,39
M311,11,21
M119,4,8
Q185,0,2
N803,423,962
Y555,0,2
X922,0,2
I889,53,71
M4844,1,5
T873,36,38
L439,487,616
D176,27,827
W503,0,93
G411,2,4
T290,7,7
Q203,3,5
M7793,10,11
I252,94,8653
Q441,2,6
M0024,1,1
E848,4,5
G500,249,461
Y556,0,18
V793,0,13
T841,819,945
M1902,52,70
M8960,2,6
R827,11,79
C119,34,47
C842,0,1
V971,0,6
A328,1,1
Y832,0,2433
Z381,0,2
M8209,0,1
T918,0,124
M2314,4,6
Q741,4,23
O895,0,2
M4784,16,39
O231,3,3
X709,0,6
Q798,8,24
Y495,0,66
B963,0,305
N170,45,93
Z949,0,10
T350,1,1
N160,0,8
M0808,1,1
Y598,0,3
M8645,9,10
E15,2,3
C750,10,17
N142,0,2
X288,0,1
H494,7,13
T958,1,12
M8886,1,2
M1316,33,39
T099,6,14
M7686,28,38
K742,1,2
W044,0,2
N825,13,15
M5455,58,76
Z501,43,3010
W0124,0,1
X631,0,1
K048,425,532
T500,1,4
C699,41,56
Z734,1,1
M8796,13,33
C52,38,51
M6085,3,3
T612,7,7
M8094,3,5
Q988,1,1
V260,0,1
M622,1,3
X994,0,13
M438,0,1
T483,0,3
N907,532,613
V281,0,6
M503,204,472
N61,537,604
X645,0,1
Y314,0,3
E042,683,868
I671,321,473
S371,4,5
G518,19,41
V011,0,31
E038,9,87
O347,74,117
C102,2,4
I459,64,202
M1380,15,22
M8050,0,51
M2408,1,1
M072,0,8
Q527,4,4
W523,0,3
T701,0,2
E110,29,95
M4186,25,50
Z532,105,2288
W504,0,12
F191,3,47
G020,0,34
G540,81,106
K908,9,36
M2597,46,51
Y891,0,3
G831,16,58
B360,2,6
M1025,0,1
M8566,9,16
V395,0,2
H535,2,7
O020,146,149
M1985,0,1
X178,0,1
M9498,1,1
M8986,40,97
S337,3,3
K051,57,99
V489,0,8
R522,182,502
M1388,0,3
O990,75,1170
N021,6,9
Y550,0,6
S561,37,59
O872,3,70
G459,2107,2387
F141,2,19
D360,40,50
I349,13,75
M1981,5,11
X308,0,1
Q054,1,16
C37,23,37
W073,0,2
Z600,0,3
Z502,25,287
B259,43,131
Y258,0,1
M7287,2,2
S831,11,11
E722,1,4
W568,0,1
W558,0,44
Y290,0,1
I821,0,3
C835,9,11
W082,0,5
M8997,301,419
S315,2,3
M718,6,7
D375,284,390
X192,0,1
D463,1,1
M0604,4,10
M7032,19,23
K275,4,6
Z420,366,421
S244,1,1
T410,1,2
T0240,51,57
T380,2,8
V485,0,72
M6257,0,2
T016,1,4
M0739,8,330
Y907,0,6
X672,0,1
J42,59,326
M6215,7,9
H533,4,9
Q728,2,5
S297,2,2
Q625,2,29
S658,3,5
M998,2,15
W319,0,276
C674,161,190
N178,10,24
S859,4,5
Y820,0,2
W105,0,139
K552,215,551
M8927,4,5
J411,3,3
T806,3,6
Y292,0,1
B084,2,2
R769,2,18
D049,3,157
R785,0,1
M8188,1,3
V49,0,2
D128,2554,3593
K439,3254,3924
O731,26,65
Z300,10,59
Z490,21,225
W781,0,2
B769,3,4
K228,585,1328
Q667,13,23
A009,2,3
W315,0,21
W515,0,7
C12,40,42
A671,0,1
E241,2,3
H758,0,1
D379,46,80
T192,15,22
T261,3,7
K312,5,13
D237,592,745
S013,134,212
N312,142,218
C020,1,5
M5493,9,12
Q963,0,2
S299,85,149
W609,0,17
C169,260,367
M8505,1,3
M2126,20,67
C788,42,259
S547,2,6
S321,5,12
N492,138,161
B250,8,11
K639,596,940
F649,0,5
O719,3,17
T506,10,19
M1989,6,12
X035,0,1
J969,270,2051
O352,3,7
X290,0,2
M2453,4,4
B968,7,6552
M2594,24,30
L668,8,8
W5108,0,1
I492,1,3
M1381,2,3
T020,0,1
N009,7,12
Z418,34,38
C761,21,26
M2550,199,436
X9709,0,1
J931,181,214
C578,10,14
M4042,0,1
Z102,0,1
I661,1,1
C570,47,63
Z573,0,86
D397,17,22
X680,0,4
W1003,0,1
L110,28,32
M8689,1,3
M4648,1,1
N921,2413,3348
H910,0,9
T597,1,1
Z887,0,235
D069,632,3602
A157,2,3
M2191,2,3
M8701,1,1
Y722,0,7
E208,0,8
S469,6,11
I238,31,45
F331,159,171
M879,31,53
M1925,3,5
M069,682,2591
P350,0,2
D091,9,70
M0691,95,120
C322,7,11
Y209,0,3
Z853,42,8503
Z929,0,15
K763,2,9
T886,89,145
M1909,4,135
P599,2,2
W888,0,1
O357,1,2
K601,503,633
V135,0,5
Q623,6,9
M8584,2,4
M8437,9,15
M4363,0,1
J391,8,12
M2580,0,2
V932,0,1
E720,3,11
S740,1,6
R36,24,45
T498,1,1
J628,5,10
C104,1,2
J028,19,26
Q369,2,3
M4180,5,7
F348,1,3
V968,0,4
M5322,3,10
M4789,35,206
M8630,1,1
V380,0,2
H526,1,3
T68,34,121
M7256,7,7
T338,1,2
Z880,4,19548
N759,5,7
M8668,2,9
T828,745,1357
I608,79,84
B379,46,350
T622,2,2
H200,32,98
F488,2,5
M7298,2,2
K634,21,57
K269,1108,2699
G951,48,87
G301,12,22
Z810,0,2
I670,38,64
S723,22,30
M3599,0,2
W229,0,360
M8058,1,1
S0231,0,2
U801,0,428
B330,4,7
T465,11,33
Q02,0,2
M623,1,4
T373,1,1
K821,28,141
G454,354,382
M8794,2,2
M4193,1,4
N413,2,6
L603,34,42
G569,24,37
F192,5,29
M9085,0,1
W278,0,9
Z630,1,132
C947,2,3
I862,11,25
X6198,0,1
F439,27,61
K669,10,40
M061,7,11
R771,1,24
E237,34,49
O468,50,58
F99,196,269
S781,1,1
M222,109,240
G913,2,9
O709,51,128
M5480,14,15
Y441,0,1
W0042,0,1
Z549,2,10
S2690,1,2
A661,2,3
V180,0,486
V4769,0,1
Y0409,0,3
D174,12,15
M2446,4,8
Q213,8,18
T864,13,25
X932,0,1
N908,545,746
K382,7,12
H062,15,151
H458,1,2
Q829,4,5
L578,162,270
S3700,26,49
W509,0,73
M4806,1885,2966
D730,0,464
W138,0,26
K002,2,4
W134,0,10
K30,11504,14877
Q381,13,15
Q169,3,7
I139,2,11
C609,44,64
A879,175,180
S8290,10,15
M2387,9,12
D642,1,1
B373,29,276
Y810,0,1
H011,11,17
I662,3,7
X785,0,2
D640,5,11
V546,0,1
K518,230,295
X605,0,14
M6218,2,3
M8711,0,2
L932,5,26
T026,1,1
H504,17,33
Z441,3,6
M0709,0,4
S650,7,37
D823,4,9
I400,14,20
M2102,0,1
Z321,69,129
K001,8,15
C164,22,27
N180,379,465
C787,930,3185
M8092,1,2
Q540,11,56
M6297,6,6
X500,0,262
M1289,0,4
E345,2,3
Z721,8,9368
D167,4,6
M0592,11,13
E871,406,2260
F524,4,8
M073,12,459
B601,5,7
K431,10,11
X503,0,308
F631,0,1
M1193,2,2
W320,0,1
I455,69,148
W228,0,70
F449,15,34
M8300,0,1
M488,5,13
M9014,0,2
B269,3,4
M4058,1,1
K598,237,358
L602,56,64
A078,1,1
O281,50,78
R878,2,4
H026,226,253
Z116,2,16
M4625,0,1
M7132,5,5
M7685,7,12
D485,197,263
M509,17,40
T114,0,1
Z290,0,177
S661,210,337
Z450,975,1081
Z442,20,21
X651,0,2
T733,2,7
M8486,3,6
K277,11,48
S2680,3,7
D035,146,326
Q333,0,4
X402,0,4
W2482,0,1
D804,6,16
F194,0,1
V736,0,3
S010,580,950
Y345,0,1
G328,1,18
O611,9,21
S611,412,553
F952,1,11
M1006,9,13
O348,17,59
Y438,0,3
Z802,2,69
B230,1,4
C814,4,4
Z049,253,530
C779,25,513
S863,8,14
W004,0,441
I152,2,10
R063,2,6
D041,18,29
M5414,15,19
H349,23,29
O080,9,12
S2760,0,4
M7909,42,785
C773,394,2772
M8935,3,5
M172,12,19
L921,5,8
R491,15,29
Y793,0,17
C340,140,204
M4399,0,14
Q612,54,188
T095,1,1
O041,82,85
A428,4,10
A020,79,100
O249,23,51
B530,1,1
M999,1,2
M8491,2,2
J202,2,2
M7023,8,11
L258,1,4
H608,39,51
Y636,0,4
Q743,2,6
D839,26,29
K709,273,672
M7295,1,2
M082,3,4
S861,33,37
M6002,1,1
E065,6,15
Z432,921,1003
A399,1,2
K715,1,1
G572,1,6
M0820,0,2
M8192,0,6
E662,12,70
Q762,1,3
Y551,0,12
K565,900,1031
E064,1,2
M0740,0,4
M5428,13,16
M6255,1,10
M0007,6,7
K564,158,327
M4783,5,13
W600,0,26
S421,32,65
I7010,14,44
M4304,1,2
M852,0,18
S0641,2,2
I612,43,47
M5452,11,12
V437,0,2
W193,0,143
T403,6,9
N642,11,12
G960,79,204
E895,7,9
Q548,1,11
V259,0,1
W508,0,11
Z027,0,1
M6156,1,2
E830,6,7
C786,545,1546
Q112,0,5
T478,2,7
M7923,13,13
T628,1,2
V274,0,38
M8159,1,1
Q068,4,8
W248,0,7
I231,3,4
Q431,2,12
S950,1,2
I842,2464,4982
D582,6,25
M924,0,2
I379,1,3
M6254,2,14
S3281,1,2
M7964,156,214
B000,8,11
M9421,2,8
Q205,0,2
R748,67,252
S234,10,14
M2381,327,660
J303,19,148
T0230,2,2
S272,14,32
O692,76,279
Y600,0,541
M9420,0,2
E518,1,2
C694,7,25
G803,0,6
M5336,1,1
O668,4,8
M9251,0,3
M9080,0,10
S3270,77,123
W850,0,1
K766,85,669
B300,1,1
H447,8,10
T314,0,3
M0230,2,5
S011,248,424
S225,3,10
Z269,5,9
W266,0,15
S318,30,48
I613,30,31
V465,0,2
M8888,3,6
R062,49,286
K594,42,74
C505,444,874
B961,0,450
M0749,0,5
C829,427,551
W456,0,28
E031,0,13
M8408,6,9
S001,119,367
D462,27,33
M2179,1,3
M5434,0,1
T854,336,362
N828,5,10
M4346,1,1
W114,0,14
F238,7,7
A539,0,2
Q271,1,7
Y791,0,5
S445,0,1
Q973,0,1
W265,0,14
G240,6,11
O902,13,41
V544,0,1
M071,0,3
M7977,0,1
W291,0,1
I829,63,119
H259,1445,1501
B069,1,1
Z922,0,18769
M706,415,580
M714,1,1
L729,1274,1408
M8795,117,241
M9953,6,23
W605,0,1
M2316,20,45
S562,29,55
M9996,0,1
X519,0,102
Y0448,0,1
M2410,2,2
Z803,16,1813
S310,24,41
F020,1,39
T741,4,5
S822,143,163
M7990,3,4
R012,0,7
W231,0,2
Z728,1,35
I715,7,7
P231,1,1
M8612,1,2
L980,364,381
M2192,3,4
H534,79,401
M6609,2,3
Y484,0,37
R068,632,1121
S8286,1,1
W1004,0,1
K251,8,9
C490,38,54
S122,16,22
S344,1,1
R54,212,568
M7062,1,2
O996,91,154
X867,0,3
F06,1,1
T068,0,4
E550,2,5
M8947,1,1
M8646,12,13
M0596,24,26
M321,49,74
I509,372,1626
C945,5,5
O218,21,26
Z852,4,393
E725,4,7
K858,23,29
T0220,6,7
Y445,0,27
I840,131,183
T362,0,1
Y620,0,1
M9984,0,1
M8900,8,12
S481,0,1
Y159,0,2
M0095,19,23
T490,4,14
Y565,0,4
M1303,2,2
M4040,0,1
X418,0,4
M6522,1,1
G231,6,13
X591,0,4
D352,335,463
E60,0,1
N051,27,49
S652,1,4
Z419,5,9
W264,0,1
T469,2,8
L731,11,14
T0290,1,2
L609,72,88
Q764,7,62
W002,0,7
M4300,1,7
V280,0,111
D831,3,3
M150,292,595
J958,62,304
S440,1,3
W029,0,130
M158,17,29
M2363,2,6
Z873,1,2324
X781,0,2
Z720,1,14863
W177,0,5
V936,0,1
Z959,0,276
X4108,0,1
M128,16,25
F802,1,13
N730,21,29
M5319,1,1
K767,7,61
S627,18,21
M7157,5,9
M805,1,7
Y409,0,181
C754,0,1
G979,4,6
Q131,5,7
L928,46,62
G508,12,20
T732,0,1
M4382,2,4
M2341,4,16
N163,0,2
M2525,2,2
W124,0,1
M858,25,397
Y435,0,4
K515,89,106
R944,46,153
M2543,16,32
M0731,0,9
G138,0,1
R191,1,6
K136,95,108
L900,369,579
M1386,9,14
E222,52,187
C224,1,6
X152,0,1
L282,9,13
M0622,1,1
V284,0,239
T870,2,3
D373,17,100
W2369,0,1
M8438,1,4
H111,63,77
O644,4,9
V850,0,1
V913,0,3
S057,0,1
R609,61,497
M4120,3,3
Q767,1,1
H027,9,10
N061,2,3
S668,51,87
D038,6,13
A870,8,8
H104,28,36
Z1382,0,11
V939,0,17
V914,0,1
T002,3,23
C510,15,23
M8435,6,8
R309,65,138
W570,0,51
M234,351,704
Q761,4,14
M1008,2,4
Z968,2,949
S0241,9,12
M7983,49,94
Y761,0,3
M308,1,8
M8440,3,8
N392,3,4
B188,2,6
X119,0,10
Q181,63,68
M2465,6,13
Y500,0,1
M8008,4,5
M5447,68,77
X660,0,1
X398,0,6
T399,23,35
H728,103,136
G903,25,48
Z825,0,103
V110,0,9
S128,1,1
M760,7,8
M610,2,2
M2436,0,2
N340,12,16
H210,20,52
W014,0,1587
T565,0,1
X602,0,20
M9951,0,1
M8902,6,7
Q214,3,3
Y553,0,1
H028,2299,2501
Q665,4,7
M211,29,74
O019,7,37
S002,41,133
I740,10,33
S933,17,31
L589,6,10
J683,1,2
N768,105,142
M9963,0,1
Y034,0,1
T832,13,20
Q648,0,4
W0120,0,1
S810,137,254
M6240,0,1
S442,3,8
R946,7,47
X580,0,32
A409,8,64
M6023,1,2
M8581,2,10
J660,1,2
K210,9352,12803
M166,20,21
V231,0,2
M8595,6,12
M2423,58,74
M0830,3,3
H351,2,5
G01,0,45
C491,65,90
S320,101,124
M0828,0,1
Q654,0,1
M949,12,24
C701,4,5
Q550,2,7
R221,388,497
L023,327,354
H809,299,338
S7210,404,427
I822,28,81
T491,1,1
S1220,90,149
K072,28,38
M4119,0,3
L508,25,43
S978,11,19
G473,3199,5654
B49,11,97
W135,0,7
M6623,10,13
M8560,0,3
K056,104,152
Z967,3,275
B948,0,46
S9231,3,5
D224,316,473
V464,0,2
M7985,74,143
C341,966,1336
E530,0,5
S534,1,11
V685,0,6
K633,341,828
E145,15,26
M7201,1,1
A062,2,2
X4099,0,5
Z974,0,293
T452,10,31
M4846,1,5
X702,0,9
J681,0,1
K605,76,91
S280,1,2
W098,0,7
T092,16,18
J209,129,154
M1234,0,1
O331,5,6
S3250,303,478
S1200,15,20
Y821,0,5
Q188,2,3
T639,6,8
X089,0,6
M7116,20,21
Y911,0,6
J679,42,62
Z998,0,469
O121,27,71
O882,3,7
T392,0,2
V970,0,1
H356,36,133
T065,0,2
O088,5,9
V112,0,5
M301,37,63
G553,13,288
S099,1826,2361
M050,2,5
T220,13,28
W512,0,3
Z514,82,1775
U810,0,61
Z577,0,3
M4602,0,1
J038,3,4
N393,5492,7026
T236,3,3
C081,3,5
M4204,1,3
M153,8,20
I776,133,306
M0619,4,8
V594,0,1
C451,7,8
M7988,55,73
Y310,0,1
W445,0,9
Q530,5,6
L031,5000,6762
N489,67,86
M0826,0,1
M5459,1952,2722
H119,102,114
M673,1,2
M1183,3,4
I361,3,127
Q038,0,1
W5599,0,2
I210,1811,1996
O901,12,31
Z004,29,61
L234,2,4
G438,49,75
L850,1,6
D106,12,13
S710,9,16
E709,0,1
O459,42,58
C700,16,26
Y431,0,96
M7148,1,1
G532,0,1
M7085,0,1
Y522,0,102
M4859,1,13
S999,71,113
L569,23,28
Z964,0,50
M7293,1,1
L539,135,570
Z523,78,81
L120,18,34
T833,157,224
I652,640,1144
Q332,3,4
X459,0,91
W115,0,20
T836,42,55
D210,88,96
V132,0,1
Y426,0,88
M9086,0,1
E236,30,51
W262,0,4
T16,46,53
S317,7,10
D572,3,6
Y66,0,15
M2589,0,2
W3103,0,1
E888,8,25
Z305,637,1508
O363,40,69
J181,4669,6955
S0250,86,162
M4680,1,2
T827,519,1090
K835,7,15
G580,14,15
Z350,16,230
I668,4,7
E298,4,4
L280,144,195
T629,12,20
V155,0,1
Y638,0,2
M9971,2,7
Z504,2,167
Z233,0,1
S410,12,38
H350,147,305
W878,0,3
S363,0,1
T420,19,31
H333,1110,1230
W212,0,4
S6250,151,214
Z589,0,1
A38,2,3
M4197,10,24
N910,5,7
W780,0,11
M9429,0,1
B653,1,1
Z571,0,5
M8667,24,39
J998,0,153
V644,0,1
Q069,1,6
D293,9,9
M8543,1,1
Y614,0,1
I443,57,143
M6290,3,3
W269,0,208
N450,43,52
M869,42,102
M0608,2,2
K036,9,21
W233,0,15
M0281,0,1
Q437,1,1
M2353,2,5
W2049,0,1
W186,0,11
Q511,1,8
K266,15,24
K050,14,20
L301,5,14
R443,17,247
M120,1,1
M7619,1,1
X58,0,1
C778,10,166
W5030,0,4
I494,78,265
I428,66,105
G587,15,44
D441,21,34
M4950,1,17
E071,0,1
V144,0,16
M2119,0,2
Q909,0,16
N139,117,199
C968,1,2
L958,26,45
C139,18,23
C677,2,4
E854,39,79
J100,41,52
M703,37,56
D489,21,41
M4622,5,7
Z522,1,19
F322,237,318
M4808,14,24
S560,4,6
W032,0,3
E274,119,212
O903,3,3
L050,253,262
E832,1,3
M4810,3,6
C20,1644,2003
Y433,0,2588
X604,0,4
Q819,0,1
V2969,0,1
G320,1,3
R897,6,32
M952,32,39
M4788,13,40
L649,3,5
D303,98,116
A310,13,26
L038,127,202
S070,1,1
W235,0,34
F131,0,9
Y501,0,2
I254,11,67
M763,6,13
M5432,3,4
N959,49,63
N023,7,12
M4796,352,862
S619,336,550
Z042,2,15
S0220,462,557
T523,0,1
B222,2,2
M2405,3,10
K296,3254,6256
H178,13,33
X712,0,1
Q357,1,2
Q628,1,6
Z860,66,6631
Y606,0,10
M6005,24,37
C714,28,36
D467,15,23
M8052,0,29
O048,14,16
M2559,58,168
O120,50,102
T632,1,1
C446,1121,2210
A043,2,2
D110,465,496
M2488,6,13
M8445,25,30
G932,79,119
X855,0,1
E112,44,312
F03,70,602
F521,0,4
F648,1,1
F231,8,9
T404,74,125
K071,40,58
I674,2,7
M235,84,127
O430,12,16
M1091,0,1
M351,21,60
E258,1,1
J990,1,35
W281,0,1
C060,30,42
V952,0,2
J849,179,334
M8788,3,6
A031,3,3
T780,94,103
G909,21,71
T273,3,4
O868,4,13
R011,21,1157
Y619,0,6
T549,19,24
M0520,7,10
Z026,0,1
T048,1,2
F527,1,2
E700,0,1
Y430,0,68
N035,2,12
W3189,0,1
K511,27,34
X930,0,1
S463,10,19
N920,7947,11023
R834,0,5
G431,170,241
Q526,1,2
Q200,1,2
B028,10,16
W091,0,1
T808,30,112
C678,46,61
S510,86,206
M7267,0,1
E052,63,113
C040,11,21
T653,2,2
S610,1345,2220
O40,59,149
L540,1,1
W208,0,40
B552,0,1
T861,90,136
S212,16,33
I728,70,119
Q503,1,2
A599,0,1
M794,7,29
Y400,0,372
A163,2,3
Y573,0,1
R234,36,122
O618,1,4
W286,0,1
F195,10,12
C880,64,88
N765,16,40
G404,9,15
M4726,205,279
F633,1,4
M7020,1,1
X966,0,2
L309,373,1685
C312,1,1
J340,134,163
C061,4,5
R073,10323,11519
M5421,11,13
E142,6,24
H440,53,100
Y471,0,43
M889,17,53
T569,0,1
Y039,0,1
M8081,1,11
L059,365,387
M7204,1804,1863
G214,1,8
M7106,11,11
W785,0,1
O354,0,1
L986,3,4
K512,414,488
I972,11,78
M4682,2,5
M2534,41,55
N171,3,15
C498,3,5
M6284,11,18
N938,1553,1923
H420,0,1
Z352,84,318
M3290,1,4
Z006,105,162
A09,498,614
M2124,57,66
Z940,14,501
X149,0,1
T250,9,22
R932,121,443
W339,0,4
K039,8,11
M7152,4,6
W279,0,234
T502,3,18
S709,110,203
E873,12,143
Z515,8,4327
G721,5,14
V479,0,4
Z304,2,11
M7953,13,13
X6399,0,1
O864,17,100
G451,13,27
Y420,0,102
S059,30,47
S828,456,481
M1384,6,8
M9423,2,4
T730,1,4
G621,4,34
M6527,3,5
M6245,2,4
O419,5,11
H302,3,8
H301,2,2
D560,0,26
Q261,0,3
I692,0,34
J350,555,574
M4630,1,2
V681,0,1
H444,11,35
L859,295,457
S2791,1,1
T874,56,80
F428,3,6
Q678,0,2
T367,0,2
T790,1,2
X250,0,1
T71,16,25
M4694,0,6
M2593,13,14
M2547,110,239
Z373,1,17
M519,86,150
S860,753,771
S632,5,9
Y803,0,1
I878,49,159
I279,24,144
M2485,39,62
L032,314,413
W139,0,187
G548,12,28
W039,0,58
A415,309,742
V290,0,5
N322,18,30
M1313,6,7
R908,56,226
N850,691,1178
M1092,20,30
M4311,1,1
M164,7,7
V0319,0,7
W379,0,2
W0099,0,1
V2709,0,1
M7282,1,1
S0260,212,256
O600,2,2
E060,4,4
M2516,2,5
E804,2,393
S5620,0,1
J101,114,171
D131,652,1140
Q359,6,13
W227,0,2
M2340,10,13
M8662,1,1
M2509,1,1
T0280,5,9
D470,6,8
M6093,2,2
M9931,1,2
N739,245,331
M4693,0,3
I952,120,281
M1253,2,3
Q251,19,33
V204,0,9
T925,2,80
K295,2217,3954
M216,84,138
D222,99,124
X607,0,1
M8129,1,1
H250,2216,2327
C923,2,4
F203,6,6
I698,1,93
Y658,0,59
X854,0,1
X740,0,1
S331,3,7
E731,2,2
S278,6,14
T381,9,28
M0764,0,1
N159,13,41
T010,0,1
Y0999,0,1
V134,0,283
M4643,1,1
R195,1034,2069
L240,3,4
H700,5,9
M2315,0,1
M0751,1,1
R230,12,41
Z358,26,90
N948,606,915
R844,0,1
S6200,65,112
M9912,0,1
L739,101,187
M624,2,7
M2332,810,948
N140,0,3
T751,12,16
D067,1,98
M7979,9,448
H908,21,61
Y289,0,20
X9999,0,1
K054,8,9
T783,226,272
S251,0,2
M919,0,1
C718,43,68
F198,1,2
M7003,1,2
M7912,7,9
I150,2,17
T357,0,1
H192,2,17
